Year,Player,Team,DYAR,Rk,YAR,Rk,DVOA,Rk,VOA,Runs,Yards,EYds,TD,FUM,Suc  Rate,Rk
2017,D.Lewis NE 273 1 280 1 27.6% 2 28.6% 180 896 1090 6 0 56% 4
2017,T.Gurley LARM 268 2 205 6 13.9% 4 8.6% 279 1305 1444 13 5 53% 5
2017,A.Kamara NO 255 3 255 3 44.5% 1 44.4% 120 728 828 8 1 53% 6
2017,K.Hunt KC 222 4 248 4 11.9% 6 14.3% 272 1327 1292 8 1 47% 18
2017,L.Bell PIT 214 5 261 2 7.9% 11 11.5% 321 1315 1462 9 2 49% 11
2017,A.Collins BAL 205 6 181 8 15.1% 3 12.3% 212 980 1075 6 2 51% 8
2017,E.Elliott DAL 205 7 198 7 11.1% 8 10.5% 242 983 1228 7 1 57% 2
2017,M.Ingram NO 193 8 210 5 11.2% 7 12.8% 230 1127 1157 12 2 49% 12
2017,M.Lynch OAK 165 9 131 9 10.1% 9 6.3% 207 891 1022 7 1 49% 13
2017,J.Howard CHI 160 10 122 10 5.8% 14 2.4% 276 1124 1219 9 1 42% 35
2017,L.Fournette JAC 115 11 57 22 2.1% 17 -3.3% 268 1040 1109 9 2 44% 26
2017,J.Williams GB 108 12 86 13 7.4% 12 4.1% 153 556 760 4 0 48% 14
2017,B.Allen BAL 96 13 67 16 6.2% 13 1.8% 153 591 714 4 0 47% 17
2017,D.Freeman ATL 89 14 105 11 1.5% 18 3.4% 195 862 895 7 4 51% 9
2017,M.Breida SF 87 15 79 14 13.0% 5 11.1% 104 471 486 2 1 47% 16
2017,A.Morris DAL 79 16 99 12 8.4% 10 12.6% 115 547 531 1 0 51% 7
2017,J.Mixon CIN 68 17 -1 37 1.0% 19 -8.7% 177 606 722 4 1 41% 37
2017,F.Gore IND 66 18 46 23 -2.3% 23 -4.2% 261 955 1012 3 3 44% 23
2017,P.Barber TB 63 19 58 20 4.4% 15 3.3% 108 423 522 3 2 57% 3
2017,L.Murray MIN 59 20 58 18 -2.3% 24 -2.3% 216 842 901 8 1 44% 23
2017,L.Miller HOU 57 21 42 25 -2.8% 25 -4.4% 238 892 941 3 1 45% 21
2017,D.Henry TEN 56 22 37 26 -1.2% 21 -3.7% 176 744 737 5 1 48% 15
2017,O.Darkwa NYG 53 23 61 17 -1.3% 22 -0.3% 171 751 714 5 1 46% 19
2017,G.Bernard CIN 48 24 43 24 3.4% 16 1.9% 105 458 427 2 0 40% 40
2017,I.Crowell CLE 46 25 57 21 -2.9% 26 -1.4% 205 851 763 2 1 40% 38
2017,M.Gillislee NE 39 26 58 19 -0.8% 20 3.1% 104 383 492 5 1 58% 1
2017,J.Ajayi 2TM 27 27 21 29 -5.1% 28 -5.9% 208 885 725 1 3 43% 30
2017,D.Murray TEN 27 28 -1 38 -5.0% 27 -8.8% 184 659 698 6 1 39% 43
2017,M.Gordon LACH 21 29 30 28 -6.8% 33 -6.0% 284 1105 1039 8 1 40% 41
2017,C.J.Anderson DEN 16 30 74 15 -6.9% 34 -0.9% 245 1007 862 3 1 42% 34
2017,W.Gallman NYG 15 31 21 30 -5.2% 29 -3.9% 111 476 415 0 3 50% 10
2017,T.Coleman ATL 14 32 9 35 -6.5% 31 -7.2% 156 628 576 5 1 40% 39
2017,C.Hyde SF 12 33 14 33 -7.4% 35 -7.2% 239 940 865 8 2 44% 27
2017,C.McCaffrey CAR 11 34 14 32 -6.2% 30 -5.6% 117 435 413 2 1 45% 22
2017,K.Williams ARI 10 35 17 31 -6.6% 32 -5.1% 120 426 436 1 0 43% 28
2017,A.Abdullah DET -9 36 -47 43 -10.0% 37 -16.0% 165 553 525 4 2 35% 47
2017,L.Blount PHI -9 37 -5 39 -9.8% 36 -9.2% 173 766 619 2 1 43% 33
2017,K.Drake MIA -14 38 30 27 -11.3% 39 -3.0% 133 648 441 3 2 44% 25
2017,M.Forte NYJ -20 39 11 34 -13.9% 41 -5.7% 103 382 297 2 1 41% 36
2017,J.McKinnon MIN -24 40 -25 41 -12.7% 40 -12.8% 150 570 460 3 2 43% 28
2017,L.McCoy BUF -26 41 -7 40 -10.8% 38 -9.2% 286 1138 962 6 3 43% 32
2017,C.Ivory JAC -38 42 -50 44 -17.0% 44 -19.7% 112 386 327 1 2 38% 44
2017,B.Powell NYJ -43 43 5 36 -14.8% 42 -7.9% 178 772 526 5 0 35% 45
